"10.21.2024","18.05.12","Blocks","POLISHED_DIORITE","64","73.0143","Vault","comrad3v"
"10.21.2024","18.10.52","Blocks","CHISELED_RED_SANDSTONE","64","215.6671","Vault","Dizmaniton"
"10.21.2024","18.10.53","Blocks","CHISELED_RED_SANDSTONE","64","216.468","Vault","Dizmaniton"
"10.21.2024","18.12.15","Blocks","SMOOTH_SANDSTONE","64","45.3981","Vault","galeriu"
"10.21.2024","18.12.15","Blocks","SMOOTH_SANDSTONE","64","45.4861","Vault","galeriu"
"10.21.2024","18.15.57","Blocks","WHITE_TERRACOTTA","32","88.4394","Vault","ImpirrenRyRy"
"10.21.2024","18.16.13","Blocks","SMOOTH_SANDSTONE","64","45.5745","Vault","AckeCraft"
"10.21.2024","18.16.14","Blocks","SMOOTH_SANDSTONE","64","45.6633","Vault","AckeCraft"
"10.21.2024","18.18.04","Blocks","WHITE_TERRACOTTA","4","11.0703","Vault","ImpirrenRyRy"
"10.21.2024","18.18.16","Blocks","WHITE_TERRACOTTA","1","2.7681","Vault","ImpirrenRyRy"
"10.21.2024","18.43.44","Blocks","WHITE_CONCRETE","4","16.1859","Vault","usteam"
"10.21.2024","18.43.44","Blocks","WHITE_CONCRETE","2","8.0942","Vault","usteam"
"10.21.2024","18.48.54","Blocks","CHISELED_SANDSTONE","64","61.868","Vault","galeriu"
"10.21.2024","19.18.34","Blocks","STONE","64","53.9318","Vault","Illiana1"
"10.21.2024","19.18.35","Blocks","STONE","64","54.0404","Vault","Illiana1"
"10.21.2024","19.18.35","Blocks","STONE","64","54.1493","Vault","Illiana1"
"10.21.2024","19.36.12","Blocks","GRAVEL","64","12.6422","Vault","comrad3v"
"10.21.2024","19.36.12","Blocks","GRAVEL","64","12.6584","Vault","comrad3v"
"10.21.2024","19.36.15","Blocks","SAND","64","8.3081","Vault","comrad3v"
"10.21.2024","19.36.15","Blocks","SAND","64","8.3174","Vault","comrad3v"
"10.21.2024","20.48.50","Blocks","COBBLESTONE","64","16.304","Vault","eejit325"
"10.21.2024","20.48.53","Blocks","DIRT","64","6.5331","Vault","eejit325"
"10.21.2024","21.36.31","Blocks","CLAY","44","52.4402","Vault","Illiana1"
"10.21.2024","21.41.19","Blocks","DIRT","64","8.6397","Vault","gustavusbackup"
"10.21.2024","21.41.19","Blocks","DIRT","64","8.6547","Vault","gustavusbackup"
"10.21.2024","21.42.21","Blocks","DIRT","64","8.6697","Vault","gustavusbackup"
"10.21.2024","21.42.22","Blocks","DIRT","64","8.6848","Vault","gustavusbackup"
"10.21.2024","21.43.18","Blocks","DIRT","64","8.6999","Vault","gustavusbackup"
"10.21.2024","21.43.18","Blocks","DIRT","64","8.7151","Vault","gustavusbackup"
"10.21.2024","21.43.19","Blocks","DIRT","64","8.7303","Vault","gustavusbackup"
"10.21.2024","21.44.49","Blocks","DIRT","64","7.8495","Vault","gustavusbackup"
"10.21.2024","22.00.23","Blocks","GLOW_BERRIES","1","100.0","Vault","Pota_the_Tato"
"10.21.2024","22.00.43","Blocks","GLOW_BERRIES","1","100.01","Vault","Diniar"
"10.21.2024","22.42.23","Blocks","DRIPSTONE_BLOCK","8","14.7572","Vault","NoConsentTrent"
"10.21.2024","23.38.58","Blocks","STONE","64","54.453","Vault","Illiana1"
"10.21.2024","23.38.58","Blocks","STONE","54","46.0307","Vault","Illiana1"
"10.21.2024","23.39.44","Blocks","COBBLESTONE","64","12.3491","Vault","Illiana1"
"10.21.2024","23.39.44","Blocks","COBBLESTONE","64","12.3689","Vault","Illiana1"
"10.21.2024","23.39.45","Blocks","COBBLESTONE","64","12.3887","Vault","Illiana1"
"10.21.2024","23.39.45","Blocks","COBBLESTONE","64","12.4085","Vault","Illiana1"
"10.21.2024","23.39.45","Blocks","COBBLESTONE","64","12.4285","Vault","Illiana1"
"10.21.2024","23.39.45","Blocks","COBBLESTONE","64","12.4485","Vault","Illiana1"
"10.21.2024","23.39.45","Blocks","COBBLESTONE","64","12.4685","Vault","Illiana1"
"10.21.2024","23.39.45","Blocks","COBBLESTONE","64","12.4887","Vault","Illiana1"
"10.21.2024","23.39.46","Blocks","COBBLESTONE","64","12.5088","Vault","Illiana1"
"10.21.2024","23.39.46","Blocks","COBBLESTONE","64","12.5291","Vault","Illiana1"
"10.21.2024","23.39.46","Blocks","COBBLESTONE","64","12.5494","Vault","Illiana1"
"10.21.2024","23.41.54","Blocks","ANDESITE","59","63.2807","Vault","Illiana1"
"10.21.2024","23.52.24","Blocks","COBBLESTONE","32","6.8084","Vault","eejit325"
"10.21.2024","23.52.25","Blocks","COBBLESTONE","16","3.4064","Vault","eejit325"
